year,major_occ,ind1,occ_desc,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2019,"production & transport operators, cleaners & labourers","legal, accounting & management services","tea server/steward (excluding bartender, barista and food/drink stall assistant)",1976,1750
2019,"production & transport operators, cleaners & labourers","legal, accounting & management services",chauffeur,3075,2255
2019,"production & transport operators, cleaners & labourers","legal, accounting & management services",van driver,2039,1600
2019,"production & transport operators, cleaners & labourers",administrative and support services,"cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1360,1200
2019,"production & transport operators, cleaners & labourers",administrative and support services,cleaning supervisor,2451,1720
2019,"production & transport operators, cleaners & labourers",administrative and support services,cleaner and helper in hotels and related establishments,1670,1400
2019,"production & transport operators, cleaners & labourers","education, health and social services","cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1389,1383
2019,"production & transport operators, cleaners & labourers","education, health and social services",ambulance driver,2037,1700
2019,"production & transport operators, cleaners & labourers","education, health and social services",van driver,2095,1864
2019,"production & transport operators, cleaners & labourers",health & social services,"cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1534,1507
2019,"production & transport operators, cleaners & labourers",health & social services,ambulance driver,2037,1700
2019,"production & transport operators, cleaners & labourers",health & social services,van driver,2095,1864
2019,"production & transport operators, cleaners & labourers","arts, entertainment, recreation and other services",hand launderer/presser (non-household),1381,1200
2019,"production & transport operators, cleaners & labourers","arts, entertainment, recreation and other services","cleaner in other establishments (eg shopping malls, schools, hospitals, places of worship)",1300,1250
2019,"production & transport operators, cleaners & labourers","arts, entertainment, recreation and other services","sports and recreational attendant (eg golf marshal, golf caddie, fun fair attendant, bowling alley attendant, swimming pool attendant)",2062,1926
